Strain,IFNB_Concentration,Replicate
ΔsecA2/secA2_MM,20.9192195540346,10
ΔsecA2/secA2_MM,17.4818119843285,10
ΔsecA2/secA2_MT,41.1999242153006,10
ΔsecA2/secA2_MT,26.9919729271821,10
ΔsecA2/secA2_MT,22.6952134650494,10
ΔesxBA,25.4451395208143,10
ΔesxBA,3.04470019156291,10
ΔesxBA,0,10
WT-HK_MOI10,0,10
WT-HK_MOI10,0,10
WT-HK_MOI10,0,10
